loss,val_loss,train_macro_f1,train_balanced_accuracy,val_macro_f1,val_balanced_accuracy,val_kappa,learning_rate
1.2490707635879517,0.7439841628074646,0.49016596588380096,0.45034869853381265,0.466473692662853,0.42931953798464334,0.5084339890690043,9.999999747378752e-05
0.916788637638092,0.6932750344276428,0.5730242387103438,0.5475577911837489,0.5009837106784856,0.46641514486947744,0.5488197489823337,9.999999747378752e-05
0.8231737613677979,0.6526505351066589,0.621959128443599,0.5936621586873239,0.5415137326429683,0.5043212542041582,0.5802887345694387,9.999999747378752e-05
0.781097948551178,0.6334580779075623,0.6490308220615565,0.6269009524507603,0.5657273420152625,0.5390862054796481,0.6010787638690515,9.999999747378752e-05
0.7413084506988525,0.6332862973213196,0.6649795886977738,0.6497935886140602,0.5641611368907871,0.5353746270608096,0.6046688179809487,9.999999747378752e-05
0.6982631087303162,0.6084896922111511,0.6806184304587423,0.6587967631475197,0.5964681543751148,0.560485965286902,0.621801591578964,9.999999747378752e-05
0.6636011600494385,0.6085306406021118,0.681426613174437,0.6674637332445047,0.5953599343175453,0.5568414116423483,0.6140191268585142,9.999999747378752e-05
0.6396598219871521,0.6057175397872925,0.6826636201976465,0.6679783379251877,0.5919823704258188,0.5592585189774886,0.617372311827957,9.999999747378752e-05
0.6197549700737,0.605617105960846,0.7210292747499201,0.7133386152445007,0.6052546876991285,0.5744505046612776,0.6150300275929232,9.999999747378752e-05
0.6024328470230103,0.6112784147262573,0.7213893937923883,0.7102517102845792,0.6031041246494853,0.5716447518555247,0.6115786769526892,9.999999747378752e-05
0.5767155885696411,0.5913200974464417,0.7376907166839187,0.7123549788216458,0.6103594277225477,0.5708709723932206,0.63334981908033,9.999999747378752e-05
0.5599952340126038,0.5916174650192261,0.7467224410545901,0.7340320074402407,0.6088622438157131,0.5753625670487497,0.6307083457026205,9.999999747378752e-05
0.5432095527648926,0.5860739946365356,0.7523254778193251,0.7776620090880938,0.6334785121224079,0.6316143579609622,0.6508743653189863,9.999999747378752e-05
0.528148353099823,0.5753635168075562,0.7725720431501205,0.7736224112230005,0.6206849573390948,0.5955643750725718,0.6554556242583224,9.999999747378752e-05
0.5198988914489746,0.5912598371505737,0.7733182405423585,0.7520609617796301,0.6055830639731294,0.5792059808453252,0.639142364273636,9.999999747378752e-05
0.5121122002601624,0.5881892442703247,0.7915714362605556,0.7909104261068949,0.6249445956147068,0.6051095633062846,0.6384751522826183,9.999999747378752e-05
0.4744917154312134,0.5895295143127441,0.8061849588158115,0.8035032654955337,0.6125070090678101,0.5869001770641115,0.6308952505487322,2.9999999242136255e-05
0.4717062711715698,0.5898861289024353,0.8125980957161444,0.8214018783279784,0.6251802088146896,0.6058042828534632,0.6372814745795548,2.9999999242136255e-05
0.4625031054019928,0.5802753567695618,0.8167050178195016,0.8228648880713461,0.6219955897701714,0.6077508962754864,0.6431030564073521,2.9999999242136255e-05
0.4413876235485077,0.5882309079170227,0.8145123883376143,0.8220191283080889,0.6273578642252741,0.6113710466169483,0.6441148058703325,8.999999408842996e-06
0.4381599724292755,0.5902912020683289,0.8211876596189437,0.8253091796885235,0.6245657324160696,0.5992533828599402,0.6405898975495821,8.999999408842996e-06
0.43875566124916077,0.5861998796463013,0.8245070146634531,0.8286777854256628,0.6186443233449024,0.5947114766786897,0.6372278072485811,8.999999408842996e-06
0.43774500489234924,0.5850222110748291,0.8223026841389866,0.8273424817868076,0.615598542431811,0.5949243785309359,0.6384430430080754,2.699999868127634e-06
