loss,accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,val_kappa,learning_rate
1.58212620550639,0.6433566433566433,1.3522890247995891,0.6689930209371885,0.11452466291175968,0.14285714285714285,0.0,1e-05
1.31702071727683,0.6748965320393892,1.2752462890413072,0.6949152542372882,0.17445529361992396,0.1820055738088525,0.17177005216274344,1e-05
1.2562127437901824,0.6874554017411161,1.2141074897750976,0.7058823529411765,0.21617059613307443,0.22651817241981176,0.3190061911666552,1e-05
1.197581651276105,0.6915941201655488,1.1598317897509014,0.7098703888334995,0.2351352792811521,0.24828082123164094,0.3659593602961303,1e-05
1.1590665747585907,0.6844583987441131,1.1220174502758753,0.7068793619142573,0.26551961806849617,0.2732030633669978,0.3961938849893115,1e-05
1.1322633681231982,0.6870272584558299,1.0971302073153237,0.7058823529411765,0.2936768287680049,0.29313044488688517,0.40570543669508075,1e-05
1.1017206671847601,0.6885971171685458,1.0728922505227347,0.711864406779661,0.3115001821271581,0.3068642151780325,0.41842589954616405,1e-05
1.0847057579042705,0.6913086913086913,1.0578893650145758,0.7108673978065803,0.3553221073921901,0.34781602767551245,0.4333686581004106,1e-05
1.0675017449953785,0.6945911231625518,1.043157483377154,0.7258225324027916,0.3676822091334052,0.3559595340625786,0.4535402744730549,1e-05
1.0543314151840122,0.6903096903096904,1.0325893225177887,0.715852442671984,0.3856199685293224,0.3886094284220748,0.4536420993079142,1e-05
1.0389550252728266,0.699443413729128,1.0235939451626368,0.7148554336989033,0.39994644898217313,0.40805983475772706,0.46023215861600497,1e-05
1.0307888590717968,0.6988725560154132,1.0154112463905698,0.7178464606181456,0.3982031877833977,0.4086517402676653,0.46584782490059296,1e-05
1.0208568542379222,0.6971599828742686,1.003052131051109,0.7188434695912264,0.39048624919384906,0.4018677547951552,0.45728857267850154,1e-05
1.0034812626229028,0.7038675610104181,0.9939070992053501,0.7238285144566301,0.3980935882862405,0.4096925175379508,0.4654598206469561,1e-05
0.9917794762000646,0.7032967032967034,0.9863238940163265,0.7337986041874377,0.4005119167411942,0.4042641505170779,0.4774757372481532,1e-05
0.993286107705064,0.7121449978592835,0.9787297196804531,0.7268195413758723,0.39340218219789913,0.40219814681173,0.4635725007270861,1e-05
0.9813509349409304,0.7028685600114172,0.9737685876233237,0.7288135593220338,0.40308646637079715,0.4142704490479666,0.47380765017204407,1e-05
0.9759174111090838,0.7081489938632796,0.966296573953023,0.7308075772681955,0.4060143268769027,0.4159589803617907,0.4735747387409803,1e-05
0.963862132910452,0.712430426716141,0.9608646432558695,0.7278165503489531,0.4066410520868641,0.4197406292254067,0.47116729112750577,1e-05
0.9623872274065126,0.7088625660054232,0.9585715295776488,0.7258225324027916,0.4102553315202872,0.43365473166409935,0.47797294714150806,1e-05
0.9515776508338919,0.7162837162837162,0.9520565791735573,0.7318045862412762,0.4027249050895825,0.41081645215134677,0.47696313054064476,1e-05
0.9543103612449071,0.7162837162837162,0.946836014588674,0.7318045862412762,0.4159528232358195,0.43515923808663853,0.48660117100608713,1e-05
0.94886154786909,0.7158555729984302,0.946019587062654,0.7298105682951147,0.40629032782283475,0.4233054031648879,0.4831676240347885,1e-05
0.9366427569832976,0.7155701441415727,0.9415689985903483,0.7357926221335992,0.40966940438964566,0.4299788729531118,0.4901010992383986,1e-05
0.9352801961985897,0.7189952904238619,0.9378449476900554,0.7288135593220338,0.41619342019217814,0.4403356817876724,0.487705079647048,1e-05
0.928550077219532,0.7201370058512916,0.9328347401959556,0.7407776669990029,0.41775126220426717,0.4299788213137159,0.4981477383163182,1e-05
0.9230066661693189,0.7227058655630084,0.9294960981323606,0.7387836490528414,0.4291079019618937,0.4449497945985065,0.5002168124762267,1e-05
0.9185239265770673,0.719423433709148,0.9264218116563464,0.7427716849451645,0.4251543504687495,0.4338189185964362,0.5029589208438254,1e-05
0.9135677947165215,0.7245611531325817,0.9252971467517671,0.732801595214357,0.42652277131766564,0.45120523609984964,0.4991643547458502,1e-05
0.9062623274108591,0.7182817182817183,0.924488279554579,0.7427716849451645,0.4210526516313545,0.4305615202570706,0.5016830478185852,1e-05
